#doc source pos typeindex type topic
#alpha : 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 
#beta : 0.01
0 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing1 14 12 id 18
0 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing1 15 13 number 18
0 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing1 16 14 supplied 18
0 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing1 17 15 internet 40
0 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing1 18 16 café 40
0 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing1 19 17 receiver 40
0 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing1 20 3 call 48
0 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing1 21 18 address 18
0 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing1 22 19 janbazan 18
0 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing1 23 20 st 18
0 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing1 24 21 west 21
0 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing1 25 22 ajerbaijan 18
0 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing1 26 6 tabriz 18
0 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing1 27 7 iran 18
0 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing1 28 18 address 18
0 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing1 29 23 residence 18
0 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing1 30 24 sattari 40
0 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing1 31 25 khurshid 18
0 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing1 32 26 caller 40
0 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing1 33 27 drilling 18
0 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing1 34 28 equipment 24
0 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing1 35 29 scheduled 18
0 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing1 36 30 arrive 18
0 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing1 37 31 urmia 18
0 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing1 38 17 receiver 40
0 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing1 39 32 soltan 18
0 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing1 40 33 handle 18
0 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing1 41 34 arrangements 48
1 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing10 0 0 telephone 40
1 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing10 1 1 intercept 40
1 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing10 2 35 november 18
1 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing10 3 3 call 37
1 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing10 4 36 mobile 37
1 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing10 5 10 phone 37
1 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing10 6 37 registered 37
1 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing10 7 38 aleppo 37
1 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing10 8 39 syria 37
1 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing10 9 36 mobile 37
1 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing10 10 10 phone 37
1 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing10 11 37 registered 37
1 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing10 12 40 antalya 37
1 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing10 13 41 turkey 37
1 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing10 14 42 conversation 37
1 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing10 15 43 place 37
1 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing10 16 44 kurmanji 37
1 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing10 17 45 language 37
1 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing10 18 46 saturday 37
1 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing10 19 35 november 18
1 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing10 20 47 gmt 37
1 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing10 21 48 news 10
1 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing10 22 49 friend 37
1 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing10 23 50 students 0
1 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing10 24 51 joined 37
1 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing10 25 52 school 37
1 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing10 26 53 tents 37
1 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing10 27 54 food 46
1 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing10 28 55 water 47
1 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing10 29 56 textbooks 37
1 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing10 30 57 glad 37
1 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing10 31 58 hear 37
1 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing10 32 59 brother 40
1 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing10 33 52 school 37
1 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing10 34 60 growing 37
1 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing10 35 61 importance 37
1 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing10 36 62 accomplish 46
1 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing10 37 63 great 46
1 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing10 38 64 things 18
1 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing10 39 49 friend 37
1 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing10 40 65 brothers 37
1 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing10 41 66 professor 37
1 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing10 42 67 moscow 43
1 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing10 43 68 textbook 18
1 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing10 44 69 salesman 37
1 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing10 45 70 sell 40
1 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing10 46 71 top 37
1 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing10 47 72 quality 46
1 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing10 48 73 books 37
1 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing10 49 74 excellent 37
1 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing10 50 74 excellent 37
1 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing10 51 30 arrive 18
1 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing10 52 75 baltasar 37
1 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing10 53 3 call 37
1 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing10 54 76 weeks 37
1 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing10 55 77 peace 46
1 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing10 56 59 brother 40
2 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing100 0 78 date 36
2 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing100 1 79 october 36
2 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing100 2 80 kenya 23
2 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing100 3 81 society 23
2 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing100 4 82 politics 23
2 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing100 5 83 blogour 23
2 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing100 6 84 continuing 36
2 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing100 7 85 relentless 39
2 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing100 8 86 investigation 17
2 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing100 9 87 uncovered 23
2 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing100 10 88 details 17
2 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing100 11 89 involved 17
2 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing100 12 90 seizure 36
2 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing100 13 91 cache 36
2 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing100 14 92 weapons 9
2 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing100 15 79 october 36
2 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing100 16 93 prosecution 25
2 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing100 17 94 superintendent 36
2 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing100 18 95 wanjohi 36
2 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing100 19 96 onyango 36
2 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing100 20 97 mr 36
2 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing100 21 98 thabiti 36
2 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing100 22 99 otieno 36
2 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing100 23 100 wife 36
2 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing100 24 101 nahid 36
2 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing100 25 102 owiti 36
2 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing100 26 103 remanded 23
2 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing100 27 104 kilimani 36
2 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing100 28 105 police 36
2 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing100 29 106 station 39
2 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing100 30 107 days 17
2 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing100 31 108 give 23
2 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing100 32 109 complete 23
2 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing100 33 110 investigations 36
2 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing100 34 111 lawyers 23
2 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing100 35 112 kagunda 23
2 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing100 36 113 yombeta 17
2 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing100 37 114 yaabets 36
2 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing100 38 115 wandingi 23
2 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing100 39 116 argued 23
2 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing100 40 117 offence 23
2 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing100 41 118 bailable 36
2 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing100 42 119 holding 23
2 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing100 43 120 accused 23
2 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing100 44 121 lead 23
2 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing100 45 122 breach 39
2 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing100 46 123 fundamental 36
2 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing100 47 124 rights 25
2 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing100 48 125 charge 23
2 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing100 49 126 sheet 23
2 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing100 50 127 found 17
2 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing100 51 128 possession 36
2 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing100 52 129 live 23
2 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing100 53 130 ammunition 23
2 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing100 54 131 meant 23
2 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing100 55 132 mm 23
2 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing100 56 132 mm 23
2 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing100 57 132 mm 23
2 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing100 58 133 guns 23
2 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing100 59 127 found 17
2 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing100 60 129 live 23
2 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing100 61 130 ammunition 23
2 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing100 62 132 mm 23
2 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing100 63 132 mm 23
2 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing100 64 133 guns 23
2 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing100 65 134 total 23
2 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing100 66 135 charges 24
2 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing100 67 128 possession 36
2 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing100 68 129 live 23
2 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing100 69 130 ammunition 23
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 0 78 date 9
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 1 136 march 30
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 2 80 kenya 23
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 3 81 society 23
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 4 82 politics 23
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 5 137 bloga 6
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 6 138 plane 30
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 7 139 south 45
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 8 140 africa 45
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 9 141 carrying 30
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 10 142 dropped 30
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 11 143 demanded 6
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 12 144 ransom 6
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 13 145 tanya 6
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 14 146 agreement 45
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 15 147 pirates 6
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 16 148 ship 6
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 17 149 owner 12
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 18 147 pirates 6
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 19 150 release 6
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 20 145 tanya 6
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 21 151 hours 6
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 22 152 count 6
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 23 153 sum 6
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 24 154 confirm 30
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 25 155 warships 45
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 26 156 hunt 6
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 27 48 news 9
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 28 157 dutch 12
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 29 149 owner 12
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 30 158 vessel 6
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 31 159 earlier 30
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 32 160 refused 30
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 33 161 hold 23
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 34 162 talks 6
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 35 163 bandits 6
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 36 164 repeatedly 45
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 37 165 threatened 6
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 38 166 lives 23
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 39 167 crew 30
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 40 168 members 30
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 41 169 multi 45
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 42 170 million 6
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 43 144 ransom 6
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 44 171 capture 23
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 45 172 arms 6
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 46 173 laden 45
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 47 148 ship 6
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 48 174 months 9
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 49 175 ago 9
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 50 176 triggered 6
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 51 177 controversy 6
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 52 178 cargo 45
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 53 179 final 30
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 54 180 destination 6
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 55 147 pirates 6
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 56 181 spokesman 30
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 57 182 oct 45
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 58 145 tanya 6
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 59 183 originally 45
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 60 184 destined 6
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 61 185 kenyan 45
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 62 186 port 45
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 63 187 city 6
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 64 188 mombasa 45
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 65 147 pirates 6
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 66 189 changed 18
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 67 190 story 23
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 68 191 insisted 30
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 69 172 arms 6
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 70 184 destined 6
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 71 192 sudan 45
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 72 193 beginning 23
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 73 194 interesting 45
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 74 195 part 9
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 75 145 tanya 6
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 76 150 release 6
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 77 196 world 9
3 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing101 78 197 watches 6
4 /Users/anb/Desktop/SinaStuff/my_code/corpus_text/documents_1/ArmsDealing102 0 78 date 33
